country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Afghanistan,,,,,1450000,,,,,,,,,,,,,,,,,,,1980000,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8860,12600,16300,,21000,22200,,,,23100,32800,29700,24900,16500,9110,4530,3930,3990,3630,4090,3360,
Algeria,,,,866000,781000,731000,689000,659000,645000,662000,646000,657000,689000,736000,723000,733000,711000,679000,652000,623000,615000,550000,510000,540000,548000,542000,566000,592000,,463000,426000,329000,272000,246000,207000,187000,169000,153000,98600,29000,31000,26300,24800,,,23200,26200,19700,14200,16400,
Angola,,,,,,,,,,,,,603000,651000,,,,,,,,,,,,,,,1030000,,,,,,,,,,656000,728000,731000,774000,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,66,196,368,170,431,,534,117,,235,66,,
Argentina,156000,,,,113000,124000,,,,,,,,,,,,208000,,,,177000,,,,,,0,11100,6970,18300,15600,14000,14400,27200,18700,11200,5380,7670,8720,25500,24000,24400,17500,4210,2420,19500,18700,,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21000,22100,,14900,9440,3290,,,,6730,5020,4870,8640,10600,11800,12400,11400,14900,
Australia,,52400,,73700,83100,41100,25500,346,241,354,709,1460,14100,29000,55800,53700,42900,34700,25200,23800,30100,39500,43600,50300,55200,90600,83700,92000,94200,102000,104000,32300,31400,47800,40000,25500,21600,18600,16900,13000,9670,44900,39600,1210,1740,1860,955,7030,9610,,
Austria,,46600,51200,58500,62900,63700,65500,,,,,,,,,,,,,19500,,,,,,,,,,429,1020,4840,13000,14500,12800,10100,9370,8870,9670,8420,7640,9350,5420,3320,2100,1510,663,149,143,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,17400,18100,42500,85300,81300,47900,74200,85200,34800,61200,79100,79900,88700,78100,77400,73300,71300,70400,61700,64100,50000,38500,8540,3640,5980,4340,12200,24800,55700,
Bahamas,,0,29,1170,206,0,352,,,,877,0,,,1290,,,,,,,,4050,3960,2610,,,,,3120,,,,,3890,3450,5040,4800,5280,6820,7390,4370,6350,8730,8420,6980,8400,,8530,,
Bahrain,,8600,7500,7140,6680,5610,7130,7410,8520,8460,7850,8150,9010,7990,6540,4470,1970,2340,933,526,,352,1850,1270,1360,595,96,270,40,184,1390,3920,4220,5430,5990,8180,7020,,,,,7480,6850,5700,3780,1410,1350,585,1190,2770,
Bangladesh,4540000,,,2840000,,,2480000,2920000,3090000,,,3700000,,4150000,4410000,4740000,4970000,5220000,3860000,3940000,3570000,,,,,,,,,,,,,,,440000,522000,,687000,661000,804000,,,,,,,,,,
Barbados,,5160,4460,4080,,,358,497,523,337,,1710,1720,1120,,,,,,76,601,,2580,,,,,,,130,557,667,1460,1490,1680,1820,1100,575,282,625,500,981,,,1450,905,418,719,328,212,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,76700,,,,,,0,3030,2270,7450,7150,5000,3840,,,2300,2460,2020,6250,7720,5890,2110,3560,5540,,
Belgium,,,,,,,,32600,,20100,15300,24100,23000,47100,51500,53600,42100,31400,22400,,,24900,35300,16800,21400,21200,17900,,,426,0,167,1950,8880,20400,22800,20000,13100,8600,9720,11500,10400,8490,8890,9810,7400,5450,2160,4130,,
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227,1320,2540,,2540,1830,2160,1860,2120,1640,1290,815,1050,115,436,293,190,240,148,302,221,
Benin,,,,,,,,,,,,,,,334000,340000,364000,,393000,403000,494000,,442000,422000,425000,416000,406000,386000,,,,,,190000,156000,212000,177000,,140000,83700,75600,77100,67800,,59900,,,52700,50900,121000,
Bhutan,,,,,,,,,48200,48000,,,,,,,,,,,,,,,,,,,50300,50000,47300,44500,,,,32500,27800,,20600,15400,12700,11100,8420,8830,,9400,9690,9570,7460,,3250
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2980,324,1680,4090,4290,6550,9650,7860,7310,6530,3440,30500,71000,107000,149000,158000,160000,155000,140000,118000,95400,,
Botswana,63000,69600,70400,71400,67600,59700,54700,50000,50900,50500,44700,36100,,28700,28100,24200,22500,21300,21000,20100,21500,16500,18600,20100,20400,47900,46900,,40200,43300,40900,37100,36900,36600,33800,32100,29500,34500,38900,41200,,,35300,35600,36300,,,,,,
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183000,287000,75600,,106000,,315000,,489000,,,,,,,,,
Brunei,,,,,,,,2660,2730,5550,5820,7200,7920,7720,7570,,6620,,,,,3550,2970,2060,2050,756,,,,,,,,,,,,,,157,,,106,167,62,260,59,145,295,225,
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,26000,21100,10500,7670,8990,8480,11700,10600,8190,11200,7890,588,152,886,450,514,6390,11400,15500,21700,29500,34600,40000,,
Burkina Faso,,776000,788000,,,,,866000,884000,902000,916000,924000,928000,940000,955000,963000,969000,981000,1010000,1040000,,1090000,1110000,1130000,1140000,1150000,,,1170000,1190000,1200000,1210000,1260000,1250000,1240000,1180000,1130000,1040000,928000,887000,1040000,946000,946000,945000,938000,917000,761000,747000,689000,748000,
Burundi,,,,476000,,,,,509000,,512000,505000,491000,462000,443000,429000,428000,408000,406000,,,,,503000,,,,,,,712000,613000,628000,591000,576000,540000,328000,235000,98500,122000,59800,,,,,,,74300,114000,141000,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,348000,314000,275000,144000,,,40800,,,97200,79800,98000,,117000,40900,41000,,84800,82600,134000,180000,186000,190000,
Cameroon,,357000,381000,414000,452000,392000,387000,416000,414000,417000,428000,,,,,,,,472000,,528000,587000,,,,,,,,,,,,,,,,,469000,397000,,363000,187000,,174000,164000,192000,259000,,347000,
Canada,,,,,,,,,,,,,85300,90600,103000,106000,99300,98600,99500,95100,96000,38500,44700,83200,96900,124000,103000,,20400,1740,1940,,,,,,,,,,,,12000,12500,13500,9240,1010,2750,5030,,
Cape Verde,,,,,,,,,,,,5280,5910,7360,4100,2680,2060,1470,229,,428,,,,536,,,,126,,334,1890,2320,2520,3450,2490,1530,1770,2150,2750,3360,4140,3900,4250,4200,4110,4420,4310,3970,,
Central African Republic,,134000,131000,128000,,,,152000,156000,,,150000,148000,146000,,,144000,191000,207000,213000,180000,208000,,,,,,,,,,,,,,338000,344000,301000,249000,255000,244000,265000,252000,,,,,,,,
Chad,,,,,,474000,,491000,,,,,,,,,,,618000,,,,,,,,769000,731000,692000,694000,698000,707000,683000,689000,,,,,,,,816000,,509000,,512000,675000,840000,694000,724000,
Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48900,40500,62800,42200,49500,51100,57300,56800,54400,45300,33900,19400,,
China,,,,,,,,,,,,,,,,,,7480000,5430000,3770000,3030000,3130000,4130000,5430000,7450000,9980000,12200000,13700000,,,,,,,,,,,,,,,,,,,,,,,
Colombia,,,,,,,,,,,,,944000,,1040000,1110000,1210000,1200000,1210000,1220000,,1120000,807000,786000,762000,639000,445000,,99500,54500,34600,124000,75700,,134000,5860,6190,12100,4540,28800,92400,112000,196000,,,141000,175000,100000,85800,,
Comoros,,,,,,,,,,,,,,6840,,,9760,14900,,,,,,,23400,,,,,34700,29400,,,,,,,20900,,,,,,13600,15300,,,17900,22700,,
"Congo, Dem. Rep.",,982000,1070000,,,1080000,,,,1100000,,,,1110000,1110000,,,,1850000,,,2210000,2400000,2570000,2600000,2160000,,,,4760000,,,,,,,,,,,,,,,,,,,,,
"Congo, Rep.",,,38800,,26500,,21400,,13400,13200,37800,42100,41500,41300,38400,,,,,,,,,,,,,,,,,,,,,265000,254000,,,,88800,,73700,,,,,,,,
Costa Rica,48200,,41400,36900,,32800,25200,,28200,32800,33000,31700,38300,,,52500,51300,52700,,54900,56700,56300,49800,49500,55200,51100,42500,,,,,,,,,,,,,,,166,246,2080,9970,8010,6190,13800,509,555,
Cote d'Ivoire,,,,,,,,524000,,,,,,,,,,,,,,1030000,1060000,,,,1060000,1070000,,1090000,1140000,1060000,1090000,1250000,,,,,,1460000,,,,1140000,988000,865000,490000,431000,242000,199000,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36200,16200,12800,5000,614,502,,1820,1690,1930,5010,15800,9030,4790,1910,2220,1950,1850,2640,2300,2770,,
Cuba,,,85300,70700,59700,,,,,18900,31300,68500,88100,87600,103000,116000,102000,77900,74100,69700,72100,76200,56100,49100,28500,31000,12300,14800,14400,6500,4450,4180,1630,13300,16500,24900,33400,25700,26200,12600,7010,10300,16000,15700,37600,44300,40400,31500,15700,5700,
Cyprus,,16000,16600,16300,16500,20900,22400,22700,21900,21000,21100,18900,21000,20900,20800,20300,17300,14800,14200,14600,15600,16000,17900,1510,1990,2460,2520,2410,,63,1280,1350,724,517,482,15,37,114,228,198,19,82,710,973,1220,758,961,754,329,,
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4590,,,,,,,,202,2840,250,16,3220,2080,5050,3510,1030,1840,1850,2390,,
Denmark,,,,,,,,,,,,20600,16600,8810,4460,5140,5380,4520,3930,8170,8300,6050,8620,9980,4270,5640,6190,,1980,779,267,598,560,,7260,6010,4620,2050,2670,3780,4880,4180,2630,1170,2320,275,47,944,2810,,
Djibouti,,,,,,,,,,,,,,,,52500,54300,58400,62700,66400,68600,70200,69800,72900,73600,74800,77700,82000,,85900,85700,81700,79400,,74800,73300,70300,64900,49800,49200,,37900,,37500,29400,35300,37900,35600,33900,30100,30900
Dominica,,,,,,220,1110,1190,,2050,2120,2290,1710,,,,,,,,,,,,,,,,,,171,778,610,863,1030,1250,1290,1580,1420,722,,88,,,,,61,,,228,
Dominican Republic,,,194000,,,,,,,,,,,,,,,,,,,,,,,,,,,159000,144000,,67700,108000,171000,157000,171000,97900,141000,48800,54300,56100,70500,73000,93800,52400,53400,61800,65800,45800,
Ecuador,,207000,,214000,210000,223000,224000,193000,175000,139000,160000,,,,,,,,,,,,,,128000,121000,103000,62300,55700,60400,50700,27600,14200,15500,,38100,27500,16800,102000,17600,14300,16200,22000,19600,19400,18300,19900,21200,24600,,
Egypt,,1900000,1920000,1970000,,,,,2090000,,,,,,,,,,,,,,,,1020000,,,919000,,1090000,941000,860000,780000,699000,630000,740000,1020000,572000,,419000,233000,400000,93500,,44400,,57300,63300,77600,90700,
El Salvador,216000,,,,,,,,,,,,,,,,,,,,,,,,,,,,130000,,62600,56800,42100,38200,,,,,,,,,,,50000,64800,74300,103000,95700,,
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,23800,,,,,,24600,20400,22800,25200,,,,,59500,63500,67300,68900,70000,,,83600,,,,,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,229000,,232000,234000,231000,230000,,200000,172000,160000,127000,95200,72700,53200,46800,66300,80600,99100,118000,115000,114000,145000,162000,186000,,238000,242000,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,17200,12400,,999,1040,1220,1230,1220,552,1180,1220,1180,68,322,606,404,18,34,947,1600,2010,2240,2140,1950,,
Eswatini,35900,37200,36600,35000,35200,34100,34400,34700,36200,37300,37000,35900,38600,42300,43900,43500,46300,46900,49200,51900,50100,50900,49400,50600,47000,41300,42300,,,,,,,,,,,,,34600,23400,13300,22600,30200,29100,31800,32000,35900,33800,,
Ethiopia,,,,,,,,,,,,,,,,,,4820000,4940000,5200000,,,,,7230000,7270000,7100000,,6730000,6640000,6380000,6090000,6010000,6140000,6050000,4920000,4510000,3960000,3290000,3440000,3810000,3290000,3110000,,2190000,2310000,,,,,
Fiji,,,,,,,,,,,,,,,,,,,,,,,3790,,3360,4990,7560,7080,6030,6410,5790,2260,851,667,184,,356,382,656,847,,736,892,844,,900,576,,,,
Finland,,,88200,,,,,,,12300,,,,,,,,,,,,,,4930,5360,6600,6340,4940,1970,617,1010,47,1450,4100,7850,9180,11000,8380,6710,5960,4930,4020,2200,2410,1360,2190,2610,4190,4890,,
France,,113000,117000,116000,104000,,135000,129000,,44600,29700,48100,99300,186000,,199000,89900,4160,5640,5150,3080,447,30100,84300,85900,41000,2050,2320,,124000,137000,139000,141000,149000,149000,3240,1140,5210,20100,36000,51300,9820,15000,23600,56300,21500,7010,2460,1760,,
Gabon,,,,,,577,,,,,,,,,,,,,,,,,,,,,,16300,,,,,,,,,,,,,,,,,,,,,,,
Gambia,,54900,56800,58100,60000,61400,62200,58700,56400,55200,52900,46800,44400,42600,42300,41100,43300,,,,67600,,77800,76300,,,75000,,81700,66700,77200,80900,89100,84400,86000,93100,82600,79000,91800,,92200,95900,89300,92400,95600,78500,75000,68700,65000,54300,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,27300,5010,369,,,,,,,7260,9060,10700,2030,4200,8870,,6590,3300,1190,1870,738,5950,2280,2430,2000,
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3030,2890,21500,148000,117000,86800,65500,62900,51300,78700,89300,70100,71500,95200,103000,92100,52600,14500,15000,19800,,
Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1220000,991000,1180000,1070000,1110000,,995000,942000,774000,587000,580000,,299000,334000,,,,,90700,154000,35400,
Greece,,72700,68000,57900,44000,41200,39900,45400,52200,61200,75900,61500,59000,51200,51800,53100,61800,82300,75000,79000,80300,80800,93800,105000,104000,87300,84600,72900,20300,14300,5830,15300,15700,17000,20200,26900,28200,28300,,,19100,18000,14600,13300,19000,14100,9880,8150,9250,,
Grenada,,,3800,,,,,393,200,246,675,1480,2000,1990,1570,,,,,,,,,,,,,,,45,,,80,,42,486,,37,25,,,,,,,,,,94,,
Guatemala,500000,501000,506000,,520000,523000,,,543000,553000,547000,527000,581000,552000,,,,,,,,,,,,,,519000,,309000,274000,305000,251000,,171000,144000,114000,96800,102000,,,105000,176000,232000,277000,283000,296000,271000,246000,249000,
Guinea,,,,,,,,,,,,,,,603000,599000,634000,671000,686000,712000,743000,745000,,,,,,,754000,751000,736000,712000,631000,601000,572000,559000,542000,522000,551000,541000,505000,446000,463000,440000,382000,,425000,,,,
Guinea-Bissau,,,,,,,,,,,,64100,55400,,63400,66400,,83300,88400,,,,,,,,,,,,101000,,,,,,,,,,64200,,,,,,,,,,
Guyana,,17400,15600,,12200,,17300,11200,,15700,,,14800,,,,,,,,,8760,11100,12800,,10700,12100,,,,,,,8190,,,,,2050,8050,3770,1800,1730,,,,,,,,
Haiti,,,,,,,,,,,529000,526000,488000,462000,507000,477000,474000,581000,,,,,,,,,,546000,,,,,,,,,,,,,,,,,,,,,,,
Honduras,,,,,,,,,168000,152000,154000,,94600,87100,83000,,89800,,,,,120000,,114000,,,,,,,150000,,,111000,107000,166000,125000,194000,157000,173000,159000,156000,197000,233000,242000,250000,233000,214000,,151000,
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,40600,46000,107000,65000,8090,6950,15700,11800,9460,14400,15200,11200,8560,11700,7670,5780,6540,9550,11700,12400,11700,11100,8650,9990,17200,,
Iceland,,,,,,,,226,,,,,,,,,,,,,,,,,792,,599,453,144,333,324,226,225,548,1080,1010,837,568,230,83,207,358,524,564,537,408,143,15,19,,
India,,28300000,,,,,,,,,,,,,,,,,,,24400000,,,,,,,,,,19500000,19600000,19900000,14100000,,,,4020000,3970000,5640000,4920000,5450000,3840000,2890000,,,,,,,
Indonesia,,5480000,5420000,,5780000,5430000,4960000,4570000,3190000,,,2290000,937000,618000,558000,537000,695000,493000,571000,550000,986000,1240000,1480000,1810000,1670000,1720000,2000000,2010000,,,,1010000,1200000,1340000,1550000,1820000,1470000,830000,1070000,871000,763000,890000,1140000,1770000,1920000,,1780000,1400000,1560000,,
Iran,,1940000,,,,,,,,,,,,,998000,1050000,1050000,1100000,1110000,1160000,718000,,441000,,,,,777000,,1260000,1130000,,209000,272000,146000,292000,248000,277000,,123000,188000,181000,112000,81700,25700,16300,15500,16900,,,
Iraq,,664000,659000,653000,648000,692000,566000,569000,558000,236000,156000,178000,,298000,,340000,329000,287000,261000,297000,,,,678000,,,814000,,,365000,416000,,,227000,291000,,,322000,,,,,,,,,,,,,
Ireland,,7870,10800,10200,14600,15500,15100,15300,15900,19400,24900,33100,42100,49300,,,55500,52600,48400,46200,44400,46100,49200,49700,48300,45500,40600,,1050,441,179,795,952,83,402,1140,526,806,354,128,981,621,294,376,197,263,64,159,10,,
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3060,2840,874,1050,972,313,145,1390,641,827,676,587,570,360,123,798,828,2750,2210,2790,,
Italy,,,,23300,,,73700,,,22100,,,,,,38400,,,,,,,,,,84400,50300,24300,,3220,2600,6720,8070,10100,8990,15600,17200,16600,16200,13800,11200,13300,7300,3240,23800,42100,58300,71800,89200,,
Jamaica,,,,,,17900,27700,25600,,12500,12300,12500,,8830,12900,15200,14300,7340,17500,6190,8690,14300,,24900,,,,,,29200,24400,24400,27200,31500,24700,,,,,,,,,,,33400,37100,38000,42800,46900,
Jordan,,,39400,24100,17500,16900,15200,12800,10100,12400,35900,47300,50600,65400,68500,66000,,,,,,,,,,,,,,71500,66600,,54200,45100,43900,52700,68600,93300,122000,,192000,228000,273000,294000,,,309000,271000,265000,262000,
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66600,1030,2190,4490,3350,3310,7570,10700,1020,1080,3200,3730,2360,2430,1070,298,2260,10300,13200,12900,
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2070000,1930000,1510000,1680000,952000,1100000,1110000,1220000,628000,902000,763000,,,1380000,,,,,,,,
Kiribati,,,,,,,,,,132,,27,,65,59,125,283,642,,193,,35,8,157,134,245,247,132,,,,,,,,,,,,,,,,,192,385,280,645,,,
Kuwait,,32600,32600,31300,31900,32500,33200,29300,19400,22900,26300,25900,25200,21600,19700,17500,18500,28700,33800,,,,105000,,51600,,14500,14700,6850,7080,12200,13400,9820,11100,8650,14100,,2760,2890,,2070,1140,1320,2660,3110,4310,7290,,,,
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,36200,,,26200,30900,26400,26900,27200,5290,16600,10800,14800,16600,18900,15800,16600,6260,1760,1460,1670,1680,1360,1410,2570,
Lao,,,,,,,,,,,,,,,,,,,191000,,203000,,255000,234000,218000,,219000,208000,190000,190000,188000,195000,188000,168000,162000,150000,135000,113000,93300,75000,40000,41600,41400,27500,25400,38100,45200,57300,65400,64900,
